ts	phase	decision	why	evidence	result
2026-08-27T20:48:21Z	frame	Kept the production profile closed before schema revision 19 work	Hot reload must not reopen a revision-18 database while the schema snapshot changes	ps process check; docs/M3-PLAN.md:882	no Attn process holds the production database
2026-08-27T20:57:45Z	backend	Used one parameterized SQLite CASE classifier for pages, counts, notifications, and badges	First-match behavior and same-message all rules must agree everywhere	src/main/splits.ts; src/main/splits.test.ts	21 focused parser, persistence, and classifier tests pass
2026-08-27T21:20:00Z	renderer	Cached loaded Inbox pages by split id and invalidated the cache on rule revision changes	The first 10,000-thread proof measured repeat switches at 80 ms, above F11's 50 ms budget	e2e/perf.spec.ts split profile before and after cache	cold switch 45 ms; cached-switch p95 3 ms
2026-08-27T21:25:00Z	e2e	Kept the broad seeded fixtures unsplit and added one opt-in split fixture	Existing mailbox tests assert the original eight-row Inbox while T27 needs production setup behavior	src/main/dev/seed.ts; e2e/fixtures/seed-splits.json; e2e/splits.spec.ts	classification, navigation, overflow, CRUD, relaunch, and restore pass in Electron
2026-08-27T21:36:25Z	review	Invalidated inactive split caches on mail changes and rejected late notification-focus reads	Rule revisions alone do not cover ordinary mail mutations, and a slow click-through must not override later user navigation	src/renderer/src/hooks/useMailData.ts; focused unit and Electron reruns	inactive pages refresh cold after mail changes; stale split pages and focus results are ignored
2026-08-27T21:36:25Z	verify	Ran the repository shipping gate and inspected both new visual artifacts	AGENTS.md defines npm run verify plus affected screenshot inspection as the completion contract	npm run verify; e2e/.artifacts/split-inbox.png; e2e/.artifacts/split-rules.png	751 unit tests and 164 built-Electron tests passed; split strip and manager render as intended
2026-08-27T21:46:20Z	audit	Resolved both medium findings from the independent gpt-5 final review	Notification focus needed an atomic rule revision, and malformed preset rows needed a recovery path	src/main/splits.ts; src/renderer/src/components/Inbox.tsx; final audit transcript	notification focus retries one revision race; explicit restore replaces malformed preset rows
2026-08-27T21:46:20Z	final-verify	Reran the complete gate after the audit fixes	The verification contract applies to the exact committed diff	npm run verify	751 unit tests and 164 built-Electron tests passed in the final state
2026-08-27T22:10:24Z	review	Accepted the PR review finding and added a resumable split-metadata rebuild for upgraded profiles	Revision-18 rows default List-Id and calendar flags to empty while their original body cursor is already complete	PR comment 3875724748; src/main/sync/splitMetadata.ts; src/main/sync/splitMetadata.test.ts	upgraded Inbox threads refill List-Id and filename-less text/calendar metadata through normal persistence
2026-08-27T22:10:24Z	review	Discarded and refetched rebuild responses when local mail changes during a provider request	A slower Gmail snapshot could otherwise overwrite a newer history, action-recovery, or body-hydration write	src/main/service/runtime.ts mail revision; splitMetadata stale-snapshot unit test	the rebuild checkpoints only a current snapshot and retries the same thread after concurrent writes
2026-08-27T22:10:24Z	review	Used the active split total in the conversation position and rejected stale split-state revisions	Inbox-wide counts and out-of-order mutation replies can both misrepresent the selected split	src/renderer/src/components/Inbox.tsx; src/renderer/src/hooks/useSplits.ts; e2e/splits.spec.ts	reader position reports 1 of 2 for a two-thread split and older state cannot replace newer rules
2026-08-27T22:10:24Z	final-verify	Ran the exact post-review repository gate and inspected both affected screenshots	AGENTS.md requires the complete built-app gate plus visual inspection for UI changes	npm run verify; e2e/.artifacts/split-inbox.png; e2e/.artifacts/split-rules.png	760 unit tests and 164 built-Electron tests passed; split strip and rule manager render as intended
2026-08-27T22:10:24Z	environment	Did not upgrade the open production database	Another worktree's Electron utility process currently holds the exact profile database	lsof on /Users/chao/Library/Application Support/Attn/attn.db; PID 97604 command line	left the live profile untouched and documented the exact stopped-profile v19-to-v20 DDL
2026-08-27T22:10:24Z	ci	Classified the existing GitHub check failures as infrastructure-only	GitHub did not start any workflow jobs because repository billing or the spending limit blocked them	PR 87 check run 33119719129 annotation	local verification is authoritative for this update; PR notes disclose the external CI blocker
2026-08-27T22:21:40Z	audit	Accepted the independent final audit's notification-selection race	A queued split restore could reapply a saved row after a notification had claimed the same split	src/renderer/src/components/Inbox.tsx; e2e/splits.spec.ts; GPT-5 Codex final trail audit	notification focus now cancels both mailbox and split restores; focused built-Electron regression passed
2026-08-27T22:21:40Z	trail-audit	Kept transient environment and GitHub evidence explicitly identified as external	The independent auditor could verify code-backed rows locally but correctly noted that process ownership and GitHub billing are not repo-contained facts	lsof and ps output in this task; gh pr view 87 check metadata; GPT-5 Codex trail assessment	code decisions remain repo-verifiable; final handoff calls out the external CI limitation without treating it as product evidence
2026-08-27T22:21:40Z	final-verify	Reran the complete shipping gate after the independent-audit fix	The committed diff must be the exact state covered by the repository contract	npm run verify	760 unit tests and 165 built-Electron tests passed; typecheck, Biome, and production build passed
